Date,Id,Players,Time,Seconds,Link
2014-04-19,oy2dn7zd,kukkye,34m 29s,2069,https://www.speedrun.com/hl1/runs/oy2dn7zd
2015-01-18,pydq4rqm,kukkye,34m 09s,2049,https://www.speedrun.com/hl1/runs/pydq4rqm
2015-02-12,8yvj6j6y,Tryedz,33m 58s,2038,https://www.speedrun.com/hl1/runs/8yvj6j6y
2015-02-15,8yvj9v8y,Tryedz,33m 33s,2013,https://www.speedrun.com/hl1/runs/8yvj9v8y
2015-05-27,pm35xnwy,Tryedz,33m 24s,2004,https://www.speedrun.com/hl1/runs/pm35xnwy
2015-07-25,0y6rekqy,Tryedz,33m 22s,2002,https://www.speedrun.com/hl1/runs/0y6rekqy
2015-07-30,0zn35oly,Tryedz,32m 58s,1978,https://www.speedrun.com/hl1/runs/0zn35oly
2015-11-17,7z07eojy,Sythka,32m 57s,1977,https://www.speedrun.com/hl1/runs/7z07eojy
2015-11-17,9me4k38y,Sythka,32m 50s 465ms,1970.465,https://www.speedrun.com/hl1/runs/9me4k38y
2016-07-01,8m70kqwy,shar,32m 17s 236ms,1937.236,https://www.speedrun.com/hl1/runs/8m70kqwy
2016-07-29,nz1kn9jy,shar,32m 14s 084ms,1934.084,https://www.speedrun.com/hl1/runs/nz1kn9jy
2016-08-04,2ywn7k0y,shar,31m 55s 144ms,1915.144,https://www.speedrun.com/hl1/runs/2ywn7k0y
2016-09-24,oy2wjjwy,shar,31m 41s 014ms,1901.014,https://www.speedrun.com/hl1/runs/oy2wjjwy
2017-01-02,nz177gwz,shar,31m 28s 983ms,1888.983,https://www.speedrun.com/hl1/runs/nz177gwz
2017-03-20,dy4po7ky,Tryedz,31m 28s 567ms,1888.567,https://www.speedrun.com/hl1/runs/dy4po7ky
2017-03-29,7z0vvq8y,shar,31m 17s 793ms,1877.793,https://www.speedrun.com/hl1/runs/7z0vvq8y
2017-05-03,y677qgpm,ProtoAus,30m 58s 192ms,1858.192,https://www.speedrun.com/hl1/runs/y677qgpm
2017-05-03,z0eexvom,shar,30m 24s 418ms,1824.418,https://www.speedrun.com/hl1/runs/z0eexvom
2017-06-07,y8q1ed1y,shar,29m 57s 394ms,1797.394,https://www.speedrun.com/hl1/runs/y8q1ed1y
2017-07-16,yw1djl9z,ProtoAus,29m 53s 475ms,1793.475,https://www.speedrun.com/hl1/runs/yw1djl9z
2017-08-05,y97n8q2m,ProtoAus,29m 39s 536ms,1779.536,https://www.speedrun.com/hl1/runs/y97n8q2m
2018-03-10,m3d263qz,Maxam,29m 03s 558ms,1743.558,https://www.speedrun.com/hl1/runs/m3d263qz
2018-04-07,zq6o105y,ProtoAus,28m 50s 862ms,1730.862,https://www.speedrun.com/hl1/runs/zq6o105y
2018-04-26,zgn528vy,Maxam,28m 48s 863ms,1728.863,https://www.speedrun.com/hl1/runs/zgn528vy
2018-07-14,yo2jdndz,Maxam,28m 36s 526ms,1716.526,https://www.speedrun.com/hl1/runs/yo2jdndz
2018-12-25,zp0pr3nm,Maxam,28m 15s 999ms,1695.999,https://www.speedrun.com/hl1/runs/zp0pr3nm
2019-01-12,yo20695z,Maxam,28m 11s 226ms,1691.226,https://www.speedrun.com/hl1/runs/yo20695z
2019-01-18,zn42538m,Maxam,28m 06s 640ms,1686.64,https://www.speedrun.com/hl1/runs/zn42538m
2019-07-13,yojklx0m,Maxam,28m 05s 124ms,1685.124,https://www.speedrun.com/hl1/runs/yojklx0m
2020-01-25,z57wkxjm,Maxam,27m 54s 868ms,1674.868,https://www.speedrun.com/hl1/runs/z57wkxjm
2020-02-09,zxk51e8m,Muty,27m 47s 036ms,1667.036,https://www.speedrun.com/hl1/runs/zxk51e8m
2020-02-23,znrl3v3y,Maxam,27m 45s 141ms,1665.141,https://www.speedrun.com/hl1/runs/znrl3v3y
2020-03-07,zqrl0lry,Maxam,27m 13s 149ms,1633.149,https://www.speedrun.com/hl1/runs/zqrl0lry
2020-06-07,z5j2v7nm,Muty,27m 06s 726ms,1626.726,https://www.speedrun.com/hl1/runs/z5j2v7nm
2020-06-23,y25jwp9y,Maxam,27m 05s 412ms,1625.412,https://www.speedrun.com/hl1/runs/y25jwp9y
2020-06-24,yoklwodz,Muty,27m 03s 599ms,1623.599,https://www.speedrun.com/hl1/runs/yoklwodz
2020-06-25,zgwe37jy,Maxam,26m 56s 436ms,1616.436,https://www.speedrun.com/hl1/runs/zgwe37jy
2020-07-05,y90kxxry,Muty,26m 48s 548ms,1608.548,https://www.speedrun.com/hl1/runs/y90kxxry
2022-01-19,y6n0p20z,KaNanga,26m 46s 364ms,1606.364,https://www.speedrun.com/hl1/runs/y6n0p20z
2022-05-06,y9v1eenm,Muty,26m 45s 036ms,1605.036,https://www.speedrun.com/hl1/runs/y9v1eenm
2022-05-06,z1po79jz,Muty,26m 42s 672ms,1602.672,https://www.speedrun.com/hl1/runs/z1po79jz
2022-06-28,y2pwe56z,Muty,26m 38s 311ms,1598.311,https://www.speedrun.com/hl1/runs/y2pwe56z
2022-07-11,mr756kgz,Muty,26m 34s 213ms,1594.213,https://www.speedrun.com/hl1/runs/mr756kgz
2023-01-12,m72d5d0z,KaNanga,26m 30s 761ms,1590.761,https://www.speedrun.com/hl1/runs/m72d5d0z
2023-08-25,yvpdj56y,Muty,26m 29s 576ms,1589.576,https://www.speedrun.com/hl1/runs/yvpdj56y
2023-09-08,mr2jol8y,Muty,26m 17s 716ms,1577.716,https://www.speedrun.com/hl1/runs/mr2jol8y
2024-01-31,m3kpo0wy,KaNanga,26m 10s 866ms,1570.866,https://www.speedrun.com/hl1/runs/m3kpo0wy
2024-02-23,mkp9475y,Muty,26m 09s 297ms,1569.297,https://www.speedrun.com/hl1/runs/mkp9475y
2024-05-06,zq8dwk8z,KaNanga,26m 08s 370ms,1568.37,https://www.speedrun.com/hl1/runs/zq8dwk8z
2024-05-19,z0d4po9y,KaNanga,26m 05s 114ms,1565.114,https://www.speedrun.com/hl1/runs/z0d4po9y
2024-06-05,z5842v5z,KaNanga,26m 04s 399ms,1564.399,https://www.speedrun.com/hl1/runs/z5842v5z
2024-06-06,mkpnk5xy,KaNanga,26m 01s 655ms,1561.655,https://www.speedrun.com/hl1/runs/mkpnk5xy
2024-06-17,ywg73k3z,KaNanga,26m 00s 109ms,1560.109,https://www.speedrun.com/hl1/runs/ywg73k3z
2024-06-19,y9jq97km,KaNanga,25m 57s 281ms,1557.281,https://www.speedrun.com/hl1/runs/y9jq97km